Name,url
Open Robotics (OSRF),https://www.openrobotics.org/
Amazon Robotics,
Intel,
JetBrains Research Lab,
Skydio,"https://www.skydio.com/
https://haykmartiros.com/about/"
Sberbank robotics lab,
Voliro,https://voliro.com/ Mina Kamel
GoodAI,https://www.goodai.com/careers/
Vergo Aero,https://verge.aero/about/
Yandex Self-driving group,https://sdg.yandex.com/
CSIRO Data61 - Robotics and Autonomous Systems group → Got good results at DARPA,"https://research.csiro.au/robotics/who-we-are/our-group/

https://data61.csiro.au/en/Our-Research/Our-Work/Monitoring-the-Environment/Visualising-the-world/Wildcat-SLAM"
IBM research lab,https://www.zurich.ibm.com/greatminds//
Microsoft,"https://careers.microsoft.com/us/en/job/1189242/Research-Intern-Apprentissage-par-renforcement-Reinforcement-Learning

https://www.microsoft.com/en-us/research/group/deep-reinforcement-learning/

https://www.microsoft.com/en-us/research/theme/machine-intelligence/"
Google Summer of Code,https://www.linkedin.com/posts/pola-hano_my-journey-with-gsoc-2021-activity-6883581772102299648-PM9K
"Google research residency ",https://research.google/careers/
MIT Research program,https://oge.mit.edu/graddiversity/msrp/
Ocado company,"https://www.ocadogroup.com/technology/research-lab
https://www.ocadogroup.com/careers/technology/robotics"
Amii,https://www.amii.ca/
Epistemic AI,https://www.epistemic-ai.eu/team
Microsoft,"https://www.microsoft.com/en-us/ai/autonomous-systems

https://careers.microsoft.com/us/en/job/1240284/Research-Intern-Autonomous-Systems

https://www.microsoft.com/en-us/research/lab/microsoft-research-asia/?from=http%3A%2F%2Fresearch.microsoft.com%2Fen-us%2Flabs%2Fasia%2Fdefault.aspx

https://www.microsoft.com/en-us/research/opportunity/reinforcement-learning-intern-msra-machine-learning-group/

https://www.microsoft.com/en-us/research/careers/?facet%5Bdate%5D%5Bfixed%5D=any&filter_queries%5B%5D=reinforcement%20learning&pg=2&sort_by=most-relevant"
Naver labs,"https://www.naverlabs.com/  it has some researchers in RL and MARL and in South Korea

https://europe.naverlabs.com/"
MERL (Mitsubisihi Electric Research Lab),https://www.merl.com/
Aurora,https://aurora.tech/careers
Level5 (Autonomous Driving),https://level-5.global/
Phantasma (Autonomous Vehicles),https://phantasma.global/
CommonRoad internships,https://commonroad.in.tum.de/internship
Microsoft Research Asia,
Nvidia Fellowship,https://blogs.nvidia.com/blog/2022/08/11/22nd-graduate-fellowship-awards/
Meta Fellowship,https://research.facebook.com/fellowship/
Motional,https://motional.com/
Waabi,https://www.linkedin.com/company/waabi/
Canadian Tech compilation,https://github.com/kmather73/CanadianTech
Nvidia Research AV group,Companies%20Labs%20&%20internships%20&%20Summer%20schools%201e96050463e8437bab1fb1aab6c5a18a.csv
EPFL E3,
MILA (Glen) Summer School,
ELO-X,https://elo-x.eu/?page_id=535
MILA,
CIFAR DLRL,https://dlrl.ca/
ETH-Zurich summer school,https://robotics-summerschool.ethz.ch/
List of companies,https://github.com/vmayoral/ros-robotics-companies
