Name,Scholarships,Notes,Country,Fees $,Tests,Docs
Bonn,,,Germany,,,
Perseo program,,,,,,
Nottingham,,,,,,
MEXT program,,,Japan,,,
Oxford,"https://www.rhodeshouse.ox.ac.uk/scholarships/apply/global-any-other-countryregion
Starts: June → August
Deadline 02 August
Your eligibility for the Global Scholarship must also be confirmed by a member of the Rhodes House team. This will be done through the application form but you will only be able to submit once you have received approval.

https://www.ox.ac.uk/clarendon/information-for-applicants/full-time
By applying for graduate study you will automatically be considered for a Clarendon scholarship. You do not need to submit any additional documents and there are no separate scholarship application forms for Clarendon. You must apply by the relevant January deadline for your course in order to be considered.",For WhiRL: https://www.ox.ac.uk/admissions/graduate/courses/dphil-computer-science   http://www.cs.ox.ac.uk/aboutus/vacancies/vacancy-research.html,England,,,
York,,,USA,,,
Ellis,,,,,,
University of Toronto,"https://vanier.gc.ca/en/nomination_process-processus_de_mise_en_candidature_overview.html (https://brightscholarship.com/vanier-canada-graduate-scholarships-2021-in-canada-fully-funded/)

Open now → Deadline is November

https://www.utias.utoronto.ca/graduate-students/funding-scholarships-and-awards/

https://future.utoronto.ca/academics/professional-and-graduate-programs/

https://future.utoronto.ca/finances/scholarships/admission-scholarships-faq/#:~:text=The%20University%20of%20Toronto%20offers,scholarship%20funding%20is%20awarded%20automatically

Check scholarship: https://www.sgs.utoronto.ca/awards/ontario-graduate-scholarship/
https://www.nserc-crsng.gc.ca/Students-Etudiants/pg-cs/index_eng.asp
https://vectorinstitute.ai/scholarship/","https://robotics.utoronto.ca/


MASc: Aerospace studies → Engineering: https://www.utias.utoronto.ca/admissions/


Robotics Emphasis: https://carre.utoronto.ca/certificate-of-emphasis-in-aerial-robotics/

Centre For Aerial RoboticsResearch And Education: 
https://carre.utoronto.ca/

Find an expert: https://experts.engineering.utoronto.ca/innovation_clusters/Robotics

CS addmission: https://web.cs.toronto.edu/graduate/prospective

Reading list: https://github.com/rvl-lab-utoronto/lab_onboarding_recommended_reading",Canada,,"IELTS, TOEFL","LoRs, Research proposal, Resume, SoP, Transcript"
CNR (Consiglio Nazionale delle Ricerche),,,,,,
NewYork University (NYU),,,USA,,,
Moncton,,,Canada,,,
Harvard,,,USA,,,
The University of Sheffield [Masters and PhD],"Scholarship: 5th February

https://www.sheffield.ac.uk/postgraduate/phd/scholarships",https://www.sheffield.ac.uk/acse/phd/opportunities,England,,"IELTS, TOEFL","LoRs, Resume, SoP, Transcript"
Oregon State University,,,USA,,,
Nothern Western,,,USA,,,
University of Stuttgart,,,Germany,,,
Robotics in Berlin,,,,,,
Caltech,,,USA,,,
